[2024.06.07 00:11:00 - info ] 4030800 ticks received from exchange SHFE
[2024.06.07 00:11:01 - info ] 904200 ticks received from exchange INE
[2024.06.07 00:11:03 - info ] 4031000 ticks received from exchange SHFE
[2024.06.07 00:11:05 - info ] 4031200 ticks received from exchange SHFE
[2024.06.07 00:11:08 - info ] 4031400 ticks received from exchange SHFE
[2024.06.07 00:11:11 - info ] 4031600 ticks received from exchange SHFE
[2024.06.07 00:11:13 - info ] 4031800 ticks received from exchange SHFE
[2024.06.07 00:11:14 - info ] 904400 ticks received from exchange INE
[2024.06.07 00:11:15 - info ] 4032000 ticks received from exchange SHFE
[2024.06.07 00:11:18 - info ] 4032200 ticks received from exchange SHFE
[2024.06.07 00:11:21 - info ] 4032400 ticks received from exchange SHFE
[2024.06.07 00:11:24 - info ] 4032600 ticks received from exchange SHFE
[2024.06.07 00:11:26 - info ] 4032800 ticks received from exchange SHFE
[2024.06.07 00:11:26 - info ] 904600 ticks received from exchange INE
[2024.06.07 00:11:29 - info ] 4033000 ticks received from exchange SHFE
[2024.06.07 00:11:32 - info ] 4033200 ticks received from exchange SHFE
[2024.06.07 00:11:35 - info ] 4033400 ticks received from exchange SHFE
[2024.06.07 00:11:36 - debug] RT tick block of INE.bc2503 resized to 5000
[2024.06.07 00:11:37 - info ] 904800 ticks received from exchange INE
[2024.06.07 00:11:38 - info ] 4033600 ticks received from exchange SHFE
[2024.06.07 00:11:41 - info ] 4033800 ticks received from exchange SHFE
[2024.06.07 00:11:44 - info ] 4034000 ticks received from exchange SHFE
[2024.06.07 00:11:47 - info ] 4034200 ticks received from exchange SHFE
[2024.06.07 00:11:47 - info ] 905000 ticks received from exchange INE
[2024.06.07 00:11:49 - info ] 4034400 ticks received from exchange SHFE
[2024.06.07 00:11:53 - info ] 4034600 ticks received from exchange SHFE
[2024.06.07 00:11:55 - debug] RT tick block of SHFE.sn2407 resized to 17500
[2024.06.07 00:11:56 - info ] 4034800 ticks received from exchange SHFE
[2024.06.07 00:12:00 - info ] 4035000 ticks received from exchange SHFE
[2024.06.07 00:12:02 - info ] 905200 ticks received from exchange INE
[2024.06.07 00:12:03 - info ] 4035200 ticks received from exchange SHFE
[2024.06.07 00:12:05 - info ] 4035400 ticks received from exchange SHFE
[2024.06.07 00:12:07 - info ] 4035600 ticks received from exchange SHFE
[2024.06.07 00:12:10 - info ] 4035800 ticks received from exchange SHFE
[2024.06.07 00:12:14 - info ] 4036000 ticks received from exchange SHFE
[2024.06.07 00:12:15 - info ] 905400 ticks received from exchange INE
