code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
CFFEX.IF.HOT,SHORT,201301091410,2513.8,201301151420,2603.2,2,-53640,19200,-54000,532303,DT_EnterShort,DT_ExitShort,35895,36113
CFFEX.IF.HOT,SHORT,201301161325,2575.6,201301241010,2639.2,2,-38160,27720,-47280,494071,DT_EnterShort,DT_ExitShort,36156,36459
CFFEX.IF.HOT,LONG,201301280955,2624,201302011040,2682.2,2,34920,58320,-5400,528918,DT_EnterLong,DT_ExitLong,36564,36789
CFFEX.IF.HOT,LONG,201302061410,2808.6,201302061445,2796.6,2,-7200,3240,-8160,521641,DT_EnterLong,DT_ExitLong,36975,36982
CFFEX.IF.HOT,SHORT,201302071005,2779.2,201302250945,2639.6,2,83760,116760,-30600,605326,DT_EnterShort,DT_ExitShort,36998,37372
CFFEX.IF.HOT,LONG,201302271415,2599.2,201303011320,2632.6,2,20040,51240,-8760,625294,DT_EnterLong,DT_ExitLong,37516,37613
CFFEX.IF.HOT,SHORT,201303110925,2591.4,201303121015,2620.6,2,-17520,12960,-18360,607702,DT_EnterShort,DT_ExitShort,37908,37972
CFFEX.IF.HOT,LONG,201303151025,2537.2,201303280925,2544.4,2,4320,69120,-23640,611952,DT_EnterLong,DT_ExitLong,38136,38610
CFFEX.IF.HOT,LONG,201303290925,2513.8,201303291130,2494.2,2,-11760,960,-13440,600123,DT_EnterLong,DT_ExitLong,38664,38689
CFFEX.IF.HOT,LONG,201304011115,2510.8,201304230940,2516.8,2,3600,21720,-55680,603653,DT_EnterLong,DT_ExitLong,38740,39477
CFFEX.IF.HOT,LONG,201304241125,2459.4,201304261440,2437.6,2,-13080,32760,-16920,590506,DT_EnterLong,DT_ExitLong,39552,39681
CFFEX.IF.HOT,LONG,201305030925,2458.2,201305141000,2486.2,2,16800,62640,-6600,607237,DT_EnterLong,DT_ExitLong,39744,40129
CFFEX.IF.HOT,SHORT,201305160935,2461,201305160955,2482.4,2,-12840,4440,-14160,594329,DT_EnterShort,DT_ExitShort,40232,40236
CFFEX.IF.HOT,LONG,201305161000,2485.8,201305211115,2584.2,2,59040,78240,-8520,653299,DT_EnterLong,DT_ExitLong,40237,40414
CFFEX.IF.HOT,SHORT,201305280940,2568.4,201305280945,2584.2,2,-9480,480,-11400,643748,DT_EnterShort,DT_ExitShort,40665,40666
CFFEX.IF.HOT,LONG,201306051100,2561.8,201306071130,2507,2,-32880,480,-33720,610798,DT_EnterLong,DT_ExitLong,41005,41119
CFFEX.IF.HOT,SHORT,201306131400,2374,201306141110,2399.8,2,-15480,1200,-16680,595252,DT_EnterShort,DT_ExitShort,41185,41223
CFFEX.IF.HOT,LONG,201306170925,2414.2,201306170945,2396.8,2,-10440,3840,-11280,584746,DT_EnterLong,DT_ExitLong,41256,41260
CFFEX.IF.HOT,SHORT,201306181110,2394.8,201307100925,2126.6,2,160920,237600,-11640,745604,DT_EnterShort,DT_ExitShort,41331,42174
CFFEX.IF.HOT,SHORT,201307121400,2282.8,201307171020,2318,2,-21120,16680,-34800,724420,DT_EnterShort,DT_ExitShort,42319,42455
CFFEX.IF.HOT,SHORT,201307191005,2219.4,201307230955,2209.6,2,5880,55680,-13920,730239,DT_EnterShort,DT_ExitShort,42560,42666
CFFEX.IF.HOT,SHORT,201307241030,2213.6,201307301105,2191.2,2,13440,51960,-27240,743618,DT_EnterShort,DT_ExitShort,42727,42950
CFFEX.IF.HOT,LONG,201307310940,2207,201308091130,2247.4,2,24240,61800,-26640,767797,DT_EnterLong,DT_ExitLong,42987,43387
CFFEX.IF.HOT,LONG,201308161115,2363.6,201308211010,2293.4,2,-42120,26160,-52320,725612,DT_EnterLong,DT_ExitLong,43654,43803
CFFEX.IF.HOT,LONG,201308220955,2320.2,201308281005,2302.2,2,-10800,15840,-45480,714749,DT_EnterLong,DT_ExitLong,43854,44072
CFFEX.IF.HOT,SHORT,201309051005,2335.8,201309060945,2348.8,2,-7800,3720,-13320,706884,DT_EnterShort,DT_ExitShort,44396,44446
CFFEX.IF.HOT,LONG,201309101455,2463,201309181125,2418.4,2,-26760,36960,-29160,680057,DT_EnterLong,DT_ExitLong,44598,44898
CFFEX.IF.HOT,LONG,201309250955,2449.8,201310080930,2396.8,2,-31800,6600,-41280,648190,DT_EnterLong,DT_ExitLong,45042,45253
CFFEX.IF.HOT,SHORT,201310151105,2458.8,201310211105,2431.8,2,16200,34440,-5880,664322,DT_EnterShort,DT_ExitShort,45542,45758
CFFEX.IF.HOT,LONG,201310240955,2417,201310251105,2387,2,-18000,4680,-18480,646256,DT_EnterLong,DT_ExitLong,45906,45974
CFFEX.IF.HOT,LONG,201311011415,2393.8,201311050925,2370,2,-14280,9480,-14520,631910,DT_EnterLong,DT_ExitLong,46264,46332
CFFEX.IF.HOT,LONG,201311150925,2309.6,201311250925,2385.6,2,45600,79080,-960,677445,DT_EnterLong,DT_ExitLong,46764,47088
CFFEX.IF.HOT,SHORT,201311261105,2387.8,201311270925,2394,2,-3720,2400,-10320,673659,DT_EnterShort,DT_ExitShort,47162,47196
CFFEX.IF.HOT,LONG,201311271110,2425.2,201312020925,2445.6,2,12240,31080,-9480,685832,DT_EnterLong,DT_ExitLong,47217,47358
CFFEX.IF.HOT,SHORT,201312021110,2416,201312090935,2482,2,-39600,1800,-50760,646165,DT_EnterShort,DT_ExitShort,47379,47630
CFFEX.IF.HOT,LONG,201312100925,2464.4,201312130925,2392.2,2,-43320,8760,-45480,602778,DT_EnterLong,DT_ExitLong,47682,47844
CFFEX.IF.HOT,LONG,201312160925,2422.4,201312310925,2310.2,2,-67320,1680,-89040,535392,DT_EnterLong,DT_ExitLong,47898,48492
CFFEX.IF.HOT,LONG,201312310945,2326.4,201401060940,2265,2,-36840,17520,-37800,498489,DT_EnterLong,DT_ExitLong,48496,48657
CFFEX.IF.HOT,SHORT,201401070925,2225.2,201401080950,2257.8,2,-19560,5160,-19440,478867,DT_EnterShort,DT_ExitShort,48708,48767
CFFEX.IF.HOT,LONG,201401090940,2247.8,201401300945,2226,2,-13080,13920,-45000,465725,DT_EnterLong,DT_ExitLong,48819,49630
CFFEX.IF.HOT,LONG,201402111035,2271.2,201402180925,2310.6,2,23640,29160,-7440,489302,DT_EnterLong,DT_ExitLong,49802,50058
CFFEX.IF.HOT,SHORT,201402181415,2285.6,201402191120,2294,2,-5040,4440,-4800,484199,DT_EnterShort,DT_ExitShort,50098,50135
CFFEX.IF.HOT,SHORT,201402240925,2231.8,201403111105,2095,2,82080,102960,-1920,566219,DT_EnterShort,DT_ExitShort,50274,50888
CFFEX.IF.HOT,LONG,201403130925,2102,201403261410,2144.2,2,25320,44520,-33240,591481,DT_EnterLong,DT_ExitLong,50976,51501
CFFEX.IF.HOT,LONG,201404011305,2166.8,201404150925,2269.4,2,61560,78120,-9600,652979,DT_EnterLong,DT_ExitLong,51704,52164
CFFEX.IF.HOT,LONG,201404180925,2217.4,201404180935,2205.4,2,-7200,1320,-8640,645718,DT_EnterLong,DT_ExitLong,52326,52328
CFFEX.IF.HOT,LONG,201404250925,2192.6,201405050925,2142.4,2,-30120,1200,-35160,615539,DT_EnterLong,DT_ExitLong,52596,52812
CFFEX.IF.HOT,LONG,201405051435,2163.4,201405071310,2138.8,2,-14760,7800,-16200,600719,DT_EnterLong,DT_ExitLong,52856,52947
CFFEX.IF.HOT,SHORT,201405151110,2148.2,201405191420,2104.4,2,26280,35280,-240,626940,DT_EnterShort,DT_ExitShort,53265,53393
CFFEX.IF.HOT,LONG,201405210955,2103,201405271440,2139.4,2,21840,36360,-2400,648722,DT_EnterLong,DT_ExitLong,53466,53721
CFFEX.IF.HOT,SHORT,201405280935,2131.4,201406051415,2134.2,2,-1680,11520,-27720,646983,DT_EnterShort,DT_ExitShort,53732,54040
CFFEX.IF.HOT,SHORT,201406111120,2151.2,201406161320,2184.6,2,-20040,10560,-21480,626883,DT_EnterShort,DT_ExitShort,54239,54407
CFFEX.IF.HOT,LONG,201406161325,2191.2,201406191000,2155.4,2,-21480,5280,-22080,605343,DT_EnterLong,DT_ExitLong,54408,54547
CFFEX.IF.HOT,LONG,201406201325,2138,201407081015,2155,2,10200,24600,-13800,615484,DT_EnterLong,DT_ExitLong,54624,55252
CFFEX.IF.HOT,SHORT,201407091410,2142.2,201407160950,2172.4,2,-18120,7800,-18360,597304,DT_EnterShort,DT_ExitShort,55335,55571
CFFEX.IF.HOT,SHORT,201407170935,2158.2,201407221115,2193.4,2,-21120,8760,-22800,576124,DT_EnterShort,DT_ExitShort,55622,55804
CFFEX.IF.HOT,LONG,201407251435,2255.2,201408071000,2349.8,2,56760,83400,-2160,632821,DT_EnterLong,DT_ExitLong,55988,56437
CFFEX.IF.HOT,SHORT,201408210955,2355.6,201408221445,2372,2,-9840,11640,-10920,622916,DT_EnterShort,DT_ExitShort,56976,57070
CFFEX.IF.HOT,SHORT,201408281100,2332.8,201408291430,2347.6,2,-8880,6720,-8640,613971,DT_EnterShort,DT_ExitShort,57259,57337
