code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
DCE.i.HOT,SHORT,201702270910,710.5,201702271500,710.5,1,-0,700,-2150,-2799.45,right_long_entry,收盘平仓,56677,56720
SHFE.rb.HOT,LONG,201702280910,3608,201702281500,3495,1,-1130,140,-1160,-3940.84,left_long_entry,收盘平仓,56746,56789
DCE.i.HOT,SHORT,201702280910,713,201702281500,691,1,2200,2250,-450,-1742.91,right_long_entry,收盘平仓,56746,56789
SHFE.rb.HOT,SHORT,201703081105,3419,201703081500,3438,1,-190,90,-400,-1943.72,left_short_entry,收盘平仓,57180,57203
DCE.i.HOT,LONG,201703081105,659,201703081500,663.5,1,450,1150,-50,-1495.71,right_short_entry,收盘平仓,57180,57203
SHFE.rb.HOT,SHORT,201703090910,3381,201703091500,3391,1,-100,330,-270,-1606.38,left_short_entry,收盘平仓,57229,57272
DCE.i.HOT,LONG,201703090910,650.5,201703091500,657.5,1,700,850,-700,-908.35,right_short_entry,收盘平仓,57229,57272
SHFE.rb.HOT,SHORT,201703150910,3644,201703151500,3638,1,60,230,-480,-859.93,left_short_entry,收盘平仓,57505,57548
DCE.i.HOT,LONG,201703150910,717,201703151500,722,1,500,1300,-250,-362.1,right_short_entry,收盘平仓,57505,57548
SHFE.rb.HOT,LONG,201703230910,3174,201703231500,3136,1,-380,70,-390,-751.94,left_long_entry,收盘平仓,57919,57962
DCE.i.HOT,SHORT,201703230910,589,201703231500,582,1,700,800,-150,-53.69,right_long_entry,收盘平仓,57919,57962
SHFE.rb.HOT,LONG,201703310910,3182,201703311500,3151,1,-310,150,-690,-373.42,left_long_entry,收盘平仓,58333,58376
DCE.i.HOT,SHORT,201703310910,566,201703311500,552.5,1,1350,2500,-450,974.92,right_long_entry,收盘平仓,58333,58376
SHFE.rb.HOT,LONG,201704171110,2915,201704171500,2915,1,0,80,-220,966.12,left_long_entry,收盘平仓,58951,58973
DCE.i.HOT,SHORT,201704171110,493.5,201704171500,493.5,1,-0,400,-200,964.64,right_long_entry,收盘平仓,58951,58973
SHFE.rb.HOT,LONG,201704251340,2956,201704251500,2945,1,-110,10,-260,845.73,left_long_entry,收盘平仓,59371,59387
DCE.i.HOT,SHORT,201704251340,500,201704251500,497,1,300,750,-50,1144.24,right_long_entry,收盘平仓,59371,59387
SHFE.rb.HOT,LONG,201705040910,3020,201705041500,2939,1,-810,120,-1160,325.33,left_long_entry,收盘平仓,59734,59777
DCE.i.HOT,SHORT,201705040910,491.5,201705041500,485,1,650,650,-250,973.87,right_long_entry,收盘平仓,59734,59777
SHFE.rb.HOT,LONG,201705081400,3011,201705081500,3013,1,20,150,-470,985.02,left_long_entry,收盘平仓,59903,59915
DCE.i.HOT,SHORT,201705081400,471,201705081500,469.5,1,150,1300,-150,1133.61,right_long_entry,收盘平仓,59903,59915
